title,description,text,date,language
Australia's big banks hike fixed-rate home loans amid rising interest rates - Reuters.com,"Two of Australia's biggest home lenders jacked up fixed-rate home loans in line with increases to their own borrowing costs, spokespeople told Reuters, adding to pressure on a housing market which has hit the brakes amid rising interest rates.","SYDNEY, June 30 (Reuters) - Two of Australia's biggest home lenders jacked up fixed-rate home loans in line with increases to their own borrowing costs, spokespeople told Reuters, adding to pressure … [+2505 chars]",2022-06-30,en
Wealth inequality in Australia and the rapid rise in house prices,"A report launched today by UNSW Sydney and Australian Council of Social Services (ACOSS) Poverty and Inequality Partnership confirms that even though Australians are now, on average, the fourth richest people in the world, the distribution of our wealth remai…","A report launched today by UNSW Sydney and Australian Council of Social Services (ACOSS) Poverty and Inequality Partnership confirms that even though Australians are now, on average, the fourth riche… [+6356 chars]",2022-07-22,en
Australia news live updates: house prices dip; Splendour in the Grass to go ahead after first day washout,"New data shows two in five properties in Australia are worth less than they were three months ago. Follow the day’s news<ul><li>Australia will require public health measures for foreseeable future, say experts</li><li>Woman who died sleeping rough in Adelaide…","Good morning,
Two in five properties in Australia are worth less than they were three months ago, data released on Saturday by Corelogic shows, in what some are taking as a sign the property boom ha… [+1222 chars]",2022-07-22,en
The Nordstrom Anniversary Sale Is Back—and These Are the Best Deals You Don’t Want To Miss,"Save on top brands like UGG, The North Face, and more during the Nordstrom Anniversary Sale 2022.","This article contains affiliate links to products selected by our editors. Mental Floss may receive a commission for purchases made through these links.
Summer isn't just for having fun in the sunit… [+4292 chars]",2022-07-15,en
"Australia news live: Covid mask warnings, foot-and-mouth disease threat rises","Anthony Albanese says he hopes there will be no need for further lockdowns, as Australian Medical Association pushes masks<ul><li>Foot-and-mouth disease: airports to step up precautions as FMD fragments found in meat products in Australia</li><li>Get our free…","Agriculture minister urges travellers to be wary of foot-and-mouth disease
Murray Watt, the agriculture minister, was on ABC earlier this morning discussing the threat Australias agricultural indust… [+11352 chars]",2022-07-20,en
Lithium Miners News For The Month Of June 2022,New record spodumene spot price sale results from PLS. Click here to read the June 2022 edition of the lithium miners news.,"Olemedia/E+ via Getty Images
Welcome to the June 2022 edition of the lithium miner news. The past month saw the lithium producers confirming strong demand and strong lithium prices, with most workin… [+33293 chars]",2022-06-25,en
"The price of food and electricity is soaring, but it hardly affects Melissa","It cost Melissa Weckert and her family a lot of money to build sustainability into their house and lifestyle, but now it's paying dividends.","The prices of food, power and fuel are skyrocketing, but it's hardly had an impact on Melissa Weckert and her family.
Their back garden is full of trees and plants growing their own fruit and vegeta… [+6009 chars]",2022-06-29,en
"Google Pixel 6a review: Cheap, small, and packing a big punch","The Google Pixel 6a is here. It has a fresh design, Google's flagship chipset, and still costs just $449. But is it any good?","Last year’s Pixel 6 and Pixel 6 Pro signaled a major shift for Google’s smartphone strategy. With original designs, Google’s first in-house chipset, new cameras, and a bold software update with Andro… [+16946 chars]",2022-07-21,en
"Adelaide, Brisbane and Perth house prices expected to recover as Sydney and Melbourne fall","Buyers' agent Propertyology is expecting Sydney and Melbourne house prices to dive by double-digit figures as values quickly recover in Brisbane, Adelaide and Perth.","House prices are tipped to recover again within a year in Australia's smaller capital cities as Sydney and Melbourne values plunge by double-digit figures.
The Reserve Bank of Australia is widely ex… [+5949 chars]",2022-07-13,en
OrganiGram Holdings (OGI) Q3 2022 Earnings Call Transcript,"OGI earnings call for the period ending June 30, 2022.","Image source: The Motley Fool.
OrganiGram Holdings (OGI -3.70%)Q3 2022 Earnings CallJul 14, 2022, 8:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Partici… [+57960 chars]",2022-07-14,en
"An Apartment Could Be the Key to Homeownership Dreams, Liberty Says","Home Loans Home Loans MELBOURNE, Australia, July 06, 2022 (GLOBE NEWSWIRE) -- As interest rates rise and property prices continue to climb, homebuyer...","Home Loans
MELBOURNE, Australia, July 06, 2022 (GLOBE NEWSWIRE) -- As interest rates rise and property prices continue to climb, homebuyer hopefuls may understandably feel a little anxious. But acco… [+2799 chars]",2022-07-05,en
